bori_id,sans
01093041,एवं तेषामहं सम्यक्शप्तानां राजसत्तम। मोक्षार्थं मानुषाल्लोकाद्यथावत्कृतवत्यहम्।
01093042,अयं शापादृषेस्तस्य एक एव नृपोत्तम। द्यौ राजन्मानुषे लोके चिरं वत्स्यति भारत।
01093043,एतदाख्याय सा देवी तत्रैवान्तरधीयत। आदाय च कुमारं तं जगामाथ यथेप्सितम्।
01093044,स तु देवव्रतो नाम गाङ्गेय इति चाभवत्। द्विनामा शंतनोः पुत्रः शंतनोरधिको गुणैः।
01093045,शंतनुश्चापि शोकार्तो जगाम स्वपुरं ततः। तस्याहं कीर्तयिष्यामि शंतनोरमितान्गुणान्।
01093046,महाभाग्यं च नृपतेर्भारतस्य यशस्विनः। यस्येतिहासो द्युतिमान्महाभारतमुच्यते।
01094001h,वैशंपायन उवाच। स एवं शंतनुर्धीमान्देवराजर्षिसत्कृतः। धर्मात्मा सर्वलोकेषु सत्यवागिति विश्रुतः।
01094002,दमो दानं क्षमा बुद्धिर्ह्रीर्धृतिस्तेज उत्तमम्। नित्यान्यासन्महासत्त्वे शंतनौ पुरुषर्षभे।
01094003,एवं स गुणसंपन्नो धर्मार्थकुशलो नृपः। आसीद्भरतवंशस्य गोप्ता साधुजनस्य च।
01094004,कम्बुग्रीवः पृथुव्यंसो मत्तवारणविक्रमः। धर्म एव परः कामादर्थाच्चेति व्यवस्थितः।
01094005,एतान्यासन्महासत्त्वे शंतनौ भरतर्षभ। न चास्य सदृशः कश्चित्क्षत्रियो धर्मतोऽभवत्।
01094006,वर्तमानं हि धर्मे स्वे सर्वधर्मविदां वरम्। तं महीपा महीपालं राजराज्येऽभ्यषेचयन्।
01094007,वीतशोकभयाबाधाः सुखस्वप्नविबोधनाः। प्रति भारतगोप्तारं समपद्यन्त भूमिपाः।
01094008,शंतनुप्रमुखैर्गुप्ते लोके नृपतिभिस्तदा। नियमात्सर्ववर्णानां ब्रह्मोत्तरमवर्तत।
01094009,ब्रह्म पर्यचरत्क्षत्रं विशः क्षत्रमनुव्रताः। ब्रह्मक्षत्रानुरक्ताश्च शूद्राः पर्यचरन्विशः।
01094010,स हास्तिनपुरे रम्ये कुरूणां पुटभेदने। वसन्सागरपर्यन्तामन्वशाद्वै वसुंधराम्।
01094011,स देवराजसदृशो धर्मज्ञः सत्यवागृजुः। दानधर्मतपोयोगाच्छ्रिया परमया युतः।
01094012,अरागद्वेषसंयुक्तः सोमवत्प्रियदर्शनः। तेजसा सूर्यसंकाशो वायुवेगसमो जवे। अन्तकप्रतिमः कोपे क्षमया पृथिवीसमः।
01094013,वधः पशुवराहाणां तथैव मृगपक्षिणाम्। शंतनौ पृथिवीपाले नावर्तत वृथा नृप।
01094014,धर्मब्रह्मोत्तरे राज्ये शंतनुर्विनयात्मवान्। समं शशास भूतानि कामरागविवर्जितः।
01094015,देवर्षिपितृयज्ञार्थमारभ्यन्त तदा क्रियाः। न चाधर्मेण केषांचित्प्राणिनामभवद्वधः।
01094016,असुखानामनाथानां तिर्यग्योनिषु वर्तताम्। स एव राजा भूतानां सर्वेषामभवत्पिता।
01094017,तस्मिन्कुरुपतिश्रेष्ठे राजराजेश्वरे सति। श्रिता वागभवत्सत्यं दानधर्माश्रितं मनः।
01094018,स समाः षोडशाष्टौ च चतस्रोऽष्टौ तथापराः। रतिमप्राप्नुवन्स्त्रीषु बभूव वनगोचरः।
01094019,तथारूपस्तथाचारस्तथावृत्तस्तथाश्रुतः। गाङ्गेयस्तस्य पुत्रोऽभून्नाम्ना देवव्रतो वसुः।
01094020,सर्वास्त्रेषु स निष्णातः पार्थिवेष्वितरेषु च। महाबलो महासत्त्वो महावीर्यो महारथः।
01094021,स कदाचिन्मृगं विद्ध्वा गङ्गामनुसरन्नदीम्। भागीरथीमल्पजलां शंतनुर्दृष्टवान्नृपः।
01094022,तां दृष्ट्वा चिन्तयामास शंतनुः पुरुषर्षभः। स्यन्दते किं न्वियं नाद्य सरिच्छ्रेष्ठा यथा पुरा।
01094023,ततो निमित्तमन्विच्छन्ददर्श स महामनाः। कुमारं रूपसंपन्नं बृहन्तं चारुदर्शनम्।
01094024,दिव्यमस्त्रं विकुर्वाणं यथा देवं पुरंदरम्। कृत्स्नां गङ्गां समावृत्य शरैस्तीक्ष्णैरवस्थितम्।
01094025,तां शरैरावृतां दृष्ट्वा नदीं गङ्गां तदन्तिके। अभवद्विस्मितो राजा कर्म दृष्ट्वातिमानुषम्।
01094026,जातमात्रं पुरा दृष्टं तं पुत्रं शंतनुस्तदा। नोपलेभे स्मृतिं धीमानभिज्ञातुं तमात्मजम्।
01094027,स तु तं पितरं दृष्ट्वा मोहयामास मायया। संमोह्य तु ततः क्षिप्रं तत्रैवान्तरधीयत।
01094028,तदद्भुतं तदा दृष्ट्वा तत्र राजा स शंतनुः। शङ्कमानः सुतं गङ्गामब्रवीद्दर्शयेति ह।
01094029,दर्शयामास तं गङ्गा बिभ्रती रूपमुत्तमम्। गृहीत्वा दक्षिणे पाणौ तं कुमारमलंकृतम्।
01094030,अलंकृतामाभरणैररजोम्बरधारिणीम्। दृष्टपूर्वामपि सतीं नाभ्यजानात्स शंतनुः।
01094031h,गङ्गोवाच। यं पुत्रमष्टमं राजंस्त्वं पुरा मय्यजायिथाः। स तेऽयं पुरुषव्याघ्र नयस्वैनं गृहान्तिकम्।
01094032,वेदानधिजगे साङ्गान्वसिष्ठादेव वीर्यवान्। कृतास्त्रः परमेष्वासो देवराजसमो युधि।
01094033,सुराणां संमतो नित्यमसुराणां च भारत। उशना वेद यच्छास्त्रमयं तद्वेद सर्वशः।
01094034,तथैवाङ्गिरसः पुत्रः सुरासुरनमस्कृतः। यद्वेद शास्त्रं तच्चापि कृत्स्नमस्मिन्प्रतिष्ठितम्। तव पुत्रे महाबाहौ साङ्गोपाङ्गं महात्मनि।
01094035,ऋषिः परैरनाधृष्यो जामदग्न्यः प्रतापवान्। यदस्त्रं वेद रामश्च तदप्यस्मिन्प्रतिष्ठितम्।
01094036,महेष्वासमिमं राजन्राजधर्मार्थकोविदम्। मया दत्तं निजं पुत्रं वीरं वीर गृहान्नय।
01094037h,वैशंपायन उवाच। तयैवं समनुज्ञातः पुत्रमादाय शंतनुः। भ्राजमानं यथादित्यमाययौ स्वपुरं प्रति।
01094038,पौरवः स्वपुरं गत्वा पुरंदरपुरोपमम्। सर्वकामसमृद्धार्थं मेने आत्मानमात्मना। पौरवेषु ततः पुत्रं यौवराज्येऽभ्यषेचयत्।
01094039,पौरवाञ्शंतनोः पुत्रः पितरं च महायशाः। राष्ट्रं च रञ्जयामास वृत्तेन भरतर्षभ।
01094040,स तथा सह पुत्रेण रममाणो महीपतिः। वर्तयामास वर्षाणि चत्वार्यमितविक्रमः।
01094041,स कदाचिद्वनं यातो यमुनामभितो नदीम्। महीपतिरनिर्देश्यमाजिघ्रद्गन्धमुत्तमम्।
01094042,तस्य प्रभवमन्विच्छन्विचचार समन्ततः। स ददर्श तदा कन्यां दाशानां देवरूपिणीम्।
01094043,तामपृच्छत्स दृष्ट्वैव कन्यामसितलोचनाम्। कस्य त्वमसि का चासि किं च भीरु चिकीर्षसि।
01094044,साब्रवीद्दाशकन्यास्मि धर्मार्थं वाहये तरीम्। पितुर्नियोगाद्भद्रं ते दाशराज्ञो महात्मनः।
01094045,रूपमाधुर्यगन्धैस्तां संयुक्तां देवरूपिणीम्। समीक्ष्य राजा दाशेयीं कामयामास शंतनुः।
01094046,स गत्वा पितरं तस्या वरयामास तां तदा। पर्यपृच्छत्ततस्तस्याः पितरं चात्मकारणात्।
01094047,स च तं प्रत्युवाचेदं दाशराजो महीपतिम्। जातमात्रैव मे देया वराय वरवर्णिनी। हृदि कामस्तु मे कश्चित्तं निबोध जनेश्वर।
01094048,यदीमां धर्मपत्नीं त्वं मत्तः प्रार्थयसेऽनघ। सत्यवागसि सत्येन समयं कुरु मे ततः।
01094049,समयेन प्रदद्यां ते कन्यामहमिमां नृप। न हि मे त्वत्समः कश्चिद्वरो जातु भविष्यति।
01094050h,शंतनुरुवाच। श्रुत्वा तव वरं दाश व्यवस्येयमहं न वा। दातव्यं चेत्प्रदास्यामि न त्वदेयं कथंचन।
01094051h,दाश उवाच। अस्यां जायेत यः पुत्रः स राजा पृथिवीपतिः। त्वदूर्ध्वमभिषेक्तव्यो नान्यः कश्चन पार्थिव।
01094052h,वैशंपायन उवाच। नाकामयत तं दातुं वरं दाशाय शंतनुः। शरीरजेन तीव्रेण दह्यमानोऽपि भारत।
01094053,स चिन्तयन्नेव तदा दाशकन्यां महीपतिः। प्रत्ययाद्धास्तिनपुरं शोकोपहतचेतनः।
01094054,ततः कदाचिच्छोचन्तं शंतनुं ध्यानमास्थितम्। पुत्रो देवव्रतोऽभ्येत्य पितरं वाक्यमब्रवीत्।
01094055,सर्वतो भवतः क्षेमं विधेयाः सर्वपार्थिवाः। तत्किमर्थमिहाभीक्ष्णं परिशोचसि दुःखितः। ध्यायन्निव च किं राजन्नाभिभाषसि किंचन।
01094056,एवमुक्तः स पुत्रेण शंतनुः प्रत्यभाषत। असंशयं ध्यानपरं यथा मात्थ तथास्म्युत।
01094057,अपत्यं नस्त्वमेवैकः कुले महति भारत। अनित्यता च मर्त्यानामतः शोचामि पुत्रक।
01094058,कथंचित्तव गाङ्गेय विपत्तौ नास्ति नः कुलम्। असंशयं त्वमेवैकः शतादपि वरः सुतः।
01094059,न चाप्यहं वृथा भूयो दारान्कर्तुमिहोत्सहे। संतानस्याविनाशाय कामये भद्रमस्तु ते। अनपत्यतैकपुत्रत्वमित्याहुर्धर्मवादिनः।
01094060,अग्निहोत्रं त्रयो वेदा यज्ञाश्च सहदक्षिणाः। सर्वाण्येतान्यपत्यस्य कलां नार्हन्ति षोडशीम्।
01094061,एवमेव मनुष्येषु स्याच्च सर्वप्रजास्वपि। यदपत्यं महाप्राज्ञ तत्र मे नास्ति संशयः। एषा त्रयी पुराणानामुत्तमानां च शाश्वती।
01094062,त्वं च शूरः सदामर्षी शस्त्रनित्यश्च भारत। नान्यत्र शस्त्रात्तस्मात्ते निधनं विद्यतेऽनघ।
01094063,सोऽस्मि संशयमापन्नस्त्वयि शान्ते कथं भवेत्। इति ते कारणं तात दुःखस्योक्तमशेषतः।
01094064,ततस्तत्कारणं ज्ञात्वा कृत्स्नं चैवमशेषतः। देवव्रतो महाबुद्धिः प्रययावनुचिन्तयन्।
01094065,अभ्यगच्छत्तदैवाशु वृद्धामात्यं पितुर्हितम्। तमपृच्छत्तदाभ्येत्य पितुस्तच्छोककारणम्।
01094066,तस्मै स कुरुमुख्याय यथावत्परिपृच्छते। वरं शशंस कन्यां तामुद्दिश्य भरतर्षभ।
01094067,ततो देवव्रतो वृद्धैः क्षत्रियैः सहितस्तदा। अभिगम्य दाशराजानं कन्यां वव्रे पितुः स्वयम्।
01094068,तं दाशः प्रतिजग्राह विधिवत्प्रतिपूज्य च। अब्रवीच्चैनमासीनं राजसंसदि भारत।
01094069,त्वमेव नाथः पर्याप्तः शंतनोः पुरुषर्षभ। पुत्रः पुत्रवतां श्रेष्ठः किं नु वक्ष्यामि ते वचः।
01094070,को हि संबन्धकं श्लाघ्यमीप्सितं यौनमीदृशम्। अतिक्रामन्न तप्येत साक्षादपि शतक्रतुः।
01094071,अपत्यं चैतदार्यस्य यो युष्माकं समो गुणैः। यस्य शुक्रात्सत्यवती प्रादुर्भूता यशस्विनी।
01094072,तेन मे बहुशस्तात पिता ते परिकीर्तितः। अर्हः सत्यवतीं वोढुं सर्वराजसु भारत।
01094073,असितो ह्यपि देवर्षिः प्रत्याख्यातः पुरा मया। सत्यवत्या भृशं ह्यर्थी स आसीदृषिसत्तमः।
01094074,कन्यापितृत्वात्किंचित्तु वक्ष्यामि भरतर्षभ। बलवत्सपत्नतामत्र दोषं पश्यामि केवलम्।
01094075,यस्य हि त्वं सपत्नः स्या गन्धर्वस्यासुरस्य वा। न स जातु सुखं जीवेत्त्वयि क्रुद्धे परंतप।
01094076,एतावानत्र दोषो हि नान्यः कश्चन पार्थिव। एतज्जानीहि भद्रं ते दानादाने परंतप।
01094077,एवमुक्तस्तु गाङ्गेयस्तद्युक्तं प्रत्यभाषत। शृण्वतां भूमिपालानां पितुरर्थाय भारत।
01094078,इदं मे मतमादत्स्व सत्यं सत्यवतां वर। नैव जातो न वाजात ईदृशं वक्तुमुत्सहेत्।
01094079,एवमेतत्करिष्यामि यथा त्वमनुभाषसे। योऽस्यां जनिष्यते पुत्रः स नो राजा भविष्यति।
01094080,इत्युक्तः पुनरेवाथ तं दाशः प्रत्यभाषत। चिकीर्षुर्दुष्करं कर्म राज्यार्थे भरतर्षभ।
01094081,त्वमेव नाथः पर्याप्तः शंतनोरमितद्युतेः। कन्यायाश्चैव धर्मात्मन्प्रभुर्दानाय चेश्वरः।
01094082,इदं तु वचनं सौम्य कार्यं चैव निबोध मे। कौमारिकाणां शीलेन वक्ष्याम्यहमरिंदम।
01094083,यत्त्वया सत्यवत्यर्थे सत्यधर्मपरायण। राजमध्ये प्रतिज्ञातमनुरूपं तवैव तत्।
01094084,नान्यथा तन्महाबाहो संशयोऽत्र न कश्चन। तवापत्यं भवेद्यत्तु तत्र नः संशयो महान्।
01094085,तस्य तन्मतमाज्ञाय सत्यधर्मपरायणः। प्रत्यजानात्तदा राजन्पितुः प्रियचिकीर्षया।
01094086h,देवव्रत उवाच। दाशराज निबोधेदं वचनं मे नृपोत्तम। शृण्वतां भूमिपालानां यद्ब्रवीमि पितुः कृते।
01094087,राज्यं तावत्पूर्वमेव मया त्यक्तं नराधिप। अपत्यहेतोरपि च करोम्येष विनिश्चयम्।
01094088,अद्य प्रभृति मे दाश ब्रह्मचर्यं भविष्यति। अपुत्रस्यापि मे लोका भविष्यन्त्यक्षया दिवि।
01094089h,वैशंपायन उवाच। तस्य तद्वचनं श्रुत्वा संप्रहृष्टतनूरुहः। ददानीत्येव तं दाशो धर्मात्मा प्रत्यभाषत।
01094090,ततोऽन्तरिक्षेऽप्सरसो देवाः सर्षिगणास्तथा। अभ्यवर्षन्त कुसुमैर्भीष्मोऽयमिति चाब्रुवन्।
01094091,ततः स पितुरर्थाय तामुवाच यशस्विनीम्। अधिरोह रथं मातर्गच्छावः स्वगृहानिति।
01094092,एवमुक्त्वा तु भीष्मस्तां रथमारोप्य भामिनीम्। आगम्य हास्तिनपुरं शंतनोः संन्यवेदयत्।
01094093,तस्य तद्दुष्करं कर्म प्रशशंसुर्नराधिपाः। समेताश्च पृथक्चैव भीष्मोऽयमिति चाब्रुवन्।
01094094,तद्दृष्ट्वा दुष्करं कर्म कृतं भीष्मेण शंतनुः। स्वच्छन्दमरणं तस्मै ददौ तुष्टः पिता स्वयम्।
01095001h,वैशंपायन उवाच। ततो विवाहे निर्वृत्ते स राजा शंतनुर्नृपः। तां कन्यां रूपसंपन्नां स्वगृहे संन्यवेशयत्।
01095002,ततः शांतनवो धीमान्सत्यवत्यामजायत। वीरश्चित्राङ्गदो नाम वीर्येण मनुजानति।
01095003,अथापरं महेष्वासं सत्यवत्यां पुनः प्रभुः। विचित्रवीर्यं राजानं जनयामास वीर्यवान्।
01095004,अप्राप्तवति तस्मिंश्च यौवनं भरतर्षभ। स राजा शंतनुर्धीमान्कालधर्ममुपेयिवान्।
01095005,स्वर्गते शंतनौ भीष्मश्चित्राङ्गदमरिंदमम्। स्थापयामास वै राज्ये सत्यवत्या मते स्थितः।
01095006,स तु चित्राङ्गदः शौर्यात्सर्वांश्चिक्षेप पार्थिवान्। मनुष्यं न हि मेने स कंचित्सदृशमात्मनः।
01095007,तं क्षिपन्तं सुरांश्चैव मनुष्यानसुरांस्तथा। गन्धर्वराजो बलवांस्तुल्यनामाभ्ययात्तदा। तेनास्य सुमहद्युद्धं कुरुक्षेत्रे बभूव ह।
01095008,तयोर्बलवतोस्तत्र गन्धर्वकुरुमुख्ययोः। नद्यास्तीरे हिरण्वत्याः समास्तिस्रोऽभवद्रणः।
01095009,तस्मिन्विमर्दे तुमुले शस्त्रवृष्टिसमाकुले। मायाधिकोऽवधीद्वीरं गन्धर्वः कुरुसत्तमम्।
01095010,चित्राङ्गदं कुरुश्रेष्ठं विचित्रशरकार्मुकम्। अन्ताय कृत्वा गन्धर्वो दिवमाचक्रमे ततः।
01095011,तस्मिन्नृपतिशार्दूले निहते भूरिवर्चसि। भीष्मः शांतनवो राजन्प्रेतकार्याण्यकारयत्।
01095012,विचित्रवीर्यं च तदा बालमप्राप्तयौवनम्। कुरुराज्ये महाबाहुरभ्यषिञ्चदनन्तरम्।
01095013,विचित्रवीर्यस्तु तदा भीष्मस्य वचने स्थितः। अन्वशासन्महाराज पितृपैतामहं पदम्।
01095014,स धर्मशास्त्रकुशलो भीष्मं शांतनवं नृपः। पूजयामास धर्मेण स चैनं प्रत्यपालयत्।
01096001h,वैशंपायन उवाच। हते चित्राङ्गदे भीष्मो बाले भ्रातरि चानघ। पालयामास तद्राज्यं सत्यवत्या मते स्थितः।
01096002,संप्राप्तयौवनं पश्यन्भ्रातरं धीमतां वरम्। भीष्मो विचित्रवीर्यस्य विवाहायाकरोन्मतिम्।
01096003,अथ काशिपतेर्भीष्मः कन्यास्तिस्रोऽप्सरःसमाः। शुश्राव सहिता राजन्वृण्वतीर्वै स्वयं वरम्।
01096004,ततः स रथिनां श्रेष्ठो रथेनैकेन वर्मभृत्। जगामानुमते मातुः पुरीं वाराणसीं प्रति।
01096005,तत्र राज्ञः समुदितान्सर्वतः समुपागतान्। ददर्श कन्यास्ताश्चैव भीष्मः शंतनुनन्दनः।
01096006,कीर्त्यमानेषु राज्ञां तु नामस्वथ सहस्रशः। भीष्मः स्वयं तदा राजन्वरयामास ताः प्रभुः।
01096007,उवाच च महीपालान्राजञ्जलदनिःस्वनः। रथमारोप्य ताः कन्या भीष्मः प्रहरतां वरः।
01096008,आहूय दानं कन्यानां गुणवद्भ्यः स्मृतं बुधैः। अलंकृत्य यथाशक्ति प्रदाय च धनान्यपि।
01096009,प्रयच्छन्त्यपरे कन्यां मिथुनेन गवामपि। वित्तेन कथितेनान्ये बलेनान्येऽनुमान्य च।
01096010,प्रमत्तामुपयान्त्यन्ये स्वयमन्ये च विन्दते। अष्टमं तमथो वित्त विवाहं कविभिः स्मृतम्।
01096011,स्वयंवरं तु राजन्याः प्रशंसन्त्युपयान्ति च। प्रमथ्य तु हृतामाहुर्ज्यायसीं धर्मवादिनः।
01096012,ता इमाः पृथिवीपाला जिहीर्षामि बलादितः। ते यतध्वं परं शक्त्या विजयायेतराय वा। स्थितोऽहं पृथिवीपाला युद्धाय कृतनिश्चयः।
01096013,एवमुक्त्वा महीपालान्काशिराजं च वीर्यवान्। सर्वाः कन्याः स कौरव्यो रथमारोपयत्स्वकम्। आमन्त्र्य च स तान्प्रायाच्छीघ्रं कन्याः प्रगृह्य ताः।
01096014,ततस्ते पार्थिवाः सर्वे समुत्पेतुरमर्षिताः। संस्पृशन्तः स्वकान्बाहून्दशन्तो दशनच्छदान्।
01096015,तेषामाभरणान्याशु त्वरितानां विमुञ्चताम्। आमुञ्चतां च वर्माणि संभ्रमः सुमहानभूत्।
01096016,ताराणामिव संपातो बभूव जनमेजय। भूषणानां च शुभ्राणां कवचानां च सर्वशः।
01096017,सवर्मभिर्भूषणैस्ते द्राग्भ्राजद्भिरितस्ततः। सक्रोधामर्षजिह्मभ्रूसकषायदृशस्तथा।
01096018,सूतोपकॢप्तान्रुचिरान्सदश्वोद्यतधूर्गतान्। रथानास्थाय ते वीराः सर्वप्रहरणान्विताः। प्रयान्तमेकं कौरव्यमनुसस्रुरुदायुधाः।
01096019,ततः समभवद्युद्धं तेषां तस्य च भारत। एकस्य च बहूनां च तुमुलं लोमहर्षणम्।
01096020,ते त्विषून्दशसाहस्रांस्तस्मै युगपदाक्षिपन्। अप्राप्तांश्चैव तानाशु भीष्मः सर्वांस्तदाच्छिनत्।
01096021,ततस्ते पार्थिवाः सर्वे सर्वतः परिवारयन्। ववर्षुः शरवर्षेण वर्षेणेवाद्रिमम्बुदाः।
01096022,स तद्बाणमयं वर्षं शरैरावार्य सर्वतः। ततः सर्वान्महीपालान्प्रत्यविध्यत्त्रिभिस्त्रिभिः।
01096023,तस्याति पुरुषानन्याँल्लाघवं रथचारिणः। रक्षणं चात्मनः संख्ये शत्रवोऽप्यभ्यपूजयन्।
01096024,तान्विनिर्जित्य तु रणे सर्वशस्त्रविशारदः। कन्याभिः सहितः प्रायाद्भारतो भारतान्प्रति।
01096025,ततस्तं पृष्ठतो राजञ्शाल्वराजो महारथः। अभ्याहनदमेयात्मा भीष्मं शांतनवं रणे।
01096026,वारणं जघने निघ्नन्दन्ताभ्यामपरो यथा। वाशितामनुसंप्राप्तो यूथपो बलिनां वरः।
01096027,स्त्रीकाम तिष्ठ तिष्ठेति भीष्ममाह स पार्थिवः। शाल्वराजो महाबाहुरमर्षेणाभिचोदितः।
01096028,ततः स पुरुषव्याघ्रो भीष्मः परबलार्दनः। तद्वाक्याकुलितः क्रोधाद्विधूमोऽग्निरिव ज्वलन्।
01096029,क्षत्रधर्मं समास्थाय व्यपेतभयसंभ्रमः। निवर्तयामास रथं शाल्वं प्रति महारथः।
01096030,निवर्तमानं तं दृष्ट्वा राजानः सर्व एव ते। प्रेक्षकाः समपद्यन्त भीष्मशाल्वसमागमे।
01096031,तौ वृषाविव नर्दन्तौ बलिनौ वाशितान्तरे। अन्योन्यमभिवर्तेतां बलविक्रमशालिनौ।
01096032,ततो भीष्मं शांतनवं शरैः शतसहस्रशः। शाल्वराजो नरश्रेष्ठः समवाकिरदाशुगैः।
01096033,पूर्वमभ्यर्दितं दृष्ट्वा भीष्मं शाल्वेन ते नृपाः। विस्मिताः समपद्यन्त साधु साध्विति चाब्रुवन्।
01096034,लाघवं तस्य ते दृष्ट्वा संयुगे सर्वपार्थिवाः। अपूजयन्त संहृष्टा वाग्भिः शाल्वं नराधिपाः।
01096035,क्षत्रियाणां तदा वाचः श्रुत्वा परपुरंजयः। क्रुद्धः शांतनवो भीष्मस्तिष्ठ तिष्ठेत्यभाषत।
01096036,सारथिं चाब्रवीत्क्रुद्धो याहि यत्रैष पार्थिवः। यावदेनं निहन्म्यद्य भुजंगमिव पक्षिराट्।
01096037,ततोऽस्त्रं वारुणं सम्यग्योजयामास कौरवः। तेनाश्वांश्चतुरोऽमृद्नाच्छाल्वराज्ञो नराधिप।
01096038,अस्त्रैरस्त्राणि संवार्य शाल्वराज्ञः स कौरवः। भीष्मो नृपतिशार्दूल न्यवधीत्तस्य सारथिम्। अस्त्रेण चाप्यथैकेन न्यवधीत्तुरगोत्तमान्।
01096039,कन्याहेतोर्नरश्रेष्ठ भीष्मः शांतनवस्तदा। जित्वा विसर्जयामास जीवन्तं नृपसत्तमम्। ततः शाल्वः स्वनगरं प्रययौ भरतर्षभ।
01096040,राजानो ये च तत्रासन्स्वयंवरदिदृक्षवः। स्वान्येव तेऽपि राष्ट्राणि जग्मुः परपुरंजय।
01096041,एवं विजित्य ताः कन्या भीष्मः प्रहरतां वरः। प्रययौ हास्तिनपुरं यत्र राजा स कौरवः।
01096042,सोऽचिरेणैव कालेन अत्यक्रामन्नराधिप। वनानि सरितश्चैव शैलांश्च विविधद्रुमान्।
01096043,अक्षतः क्षपयित्वारीन्संख्येऽसंख्येयविक्रमः। आनयामास काश्यस्य सुताः सागरगासुतः।
01096044,स्नुषा इव स धर्मात्मा भगिन्य इव चानुजाः। यथा दुहितरश्चैव प्रतिगृह्य ययौ कुरून्।
01096045,ताः सर्वा गुणसंपन्ना भ्राता भ्रात्रे यवीयसे। भीष्मो विचित्रवीर्याय प्रददौ विक्रमाहृताः।
01096046,सतां धर्मेण धर्मज्ञः कृत्वा कर्मातिमानुषम्। भ्रातुर्विचित्रवीर्यस्य विवाहायोपचक्रमे। सत्यवत्या सह मिथः कृत्वा निश्चयमात्मवान्।
01096047,विवाहं कारयिष्यन्तं भीष्मं काशिपतेः सुता। ज्येष्ठा तासामिदं वाक्यमब्रवीद्ध सती तदा।
01096048,मया सौभपतिः पूर्वं मनसाभिवृतः पतिः। तेन चास्मि वृता पूर्वमेष कामश्च मे पितुः।
01096049,मया वरयितव्योऽभूच्छाल्वस्तस्मिन्स्वयंवरे। एतद्विज्ञाय धर्मज्ञ ततस्त्वं धर्ममाचर।
01096050,एवमुक्तस्तया भीष्मः कन्यया विप्रसंसदि। चिन्तामभ्यगमद्वीरो युक्तां तस्यैव कर्मणः।
01096051,स विनिश्चित्य धर्मज्ञो ब्राह्मणैर्वेदपारगैः। अनुजज्ञे तदा ज्येष्टामम्बां काशिपतेः सुताम्।
01096052,अम्बिकाम्बालिके भार्ये प्रादाद्भ्रात्रे यवीयसे। भीष्मो विचित्रवीर्याय विधिदृष्टेन कर्मणा।
01096053,तयोः पाणिं गृहीत्वा स रूपयौवनदर्पितः। विचित्रवीर्यो धर्मात्मा कामात्मा समपद्यत।
01096054,ते चापि बृहती श्यामे नीलकुञ्चितमूर्धजे। रक्ततुङ्गनखोपेते पीनश्रोणिपयोधरे।
01096055,आत्मनः प्रतिरूपोऽसौ लब्धः पतिरिति स्थिते। विचित्रवीर्यं कल्याणं पूजयामासतुस्तु ते।
01096056,स चाश्विरूपसदृशो देवसत्त्वपराक्रमः। सर्वासामेव नारीणां चित्तप्रमथनोऽभवत्।
01096057,ताभ्यां सह समाः सप्त विहरन्पृथिवीपतिः। विचित्रवीर्यस्तरुणो यक्ष्माणं समपद्यत।
01096058,सुहृदां यतमानानामाप्तैः सह चिकित्सकैः। जगामास्तमिवादित्यः कौरव्यो यमसादनम्।
01096059,प्रेतकार्याणि सर्वाणि तस्य सम्यगकारयत्। राज्ञो विचित्रवीर्यस्य सत्यवत्या मते स्थितः। ऋत्विग्भिः सहितो भीष्मः सर्वैश्च कुरुपुंगवैः।
01097001h,वैशंपायन उवाच। ततः सत्यवती दीना कृपणा पुत्रगृद्धिनी। पुत्रस्य कृत्वा कार्याणि स्नुषाभ्यां सह भारत।
01097002,धर्मं च पितृवंशं च मातृवंशं च मानिनी। प्रसमीक्ष्य महाभागा गाङ्गेयं वाक्यमब्रवीत्।
01097003,शंतनोर्धर्मनित्यस्य कौरव्यस्य यशस्विनः। त्वयि पिण्डश्च कीर्तिश्च संतानं च प्रतिष्ठितम्।
01097004,यथा कर्म शुभं कृत्वा स्वर्गोपगमनं ध्रुवम्। यथा चायुर्ध्रुवं सत्ये त्वयि धर्मस्तथा ध्रुवः।
01097005,वेत्थ धर्मांश्च धर्मज्ञ समासेनेतरेण च। विविधास्त्वं श्रुतीर्वेत्थ वेत्थ वेदांश्च सर्वशः।
01097006,व्यवस्थानं च ते धर्मे कुलाचारं च लक्षये। प्रतिपत्तिं च कृच्छ्रेषु शुक्राङ्गिरसयोरिव।
01097007,तस्मात्सुभृशमाश्वस्य त्वयि धर्मभृतां वर। कार्ये त्वां विनियोक्ष्यामि तच्छ्रुत्वा कर्तुमर्हसि।
01097008,मम पुत्रस्तव भ्राता वीर्यवान्सुप्रियश्च ते। बाल एव गतः स्वर्गमपुत्रः पुरुषर्षभ।
01097009,इमे महिष्यौ भ्रातुस्ते काशिराजसुते शुभे। रूपयौवनसंपन्ने पुत्रकामे च भारत।
01097010,तयोरुत्पादयापत्यं संतानाय कुलस्य नः। मन्नियोगान्महाभाग धर्मं कर्तुमिहार्हसि।
